# GENERATED: python -m homm3.vc6.weighted_queue
# Sorted by increasing current score, then decreasing unmatched bytes.
# Unscored rows rank at zero; MAX/history never hide current residuals.
va	size	current	maximum	historical	remaining_bytes	unit	function	state
0x0053c390	1840	86.684586	86.6846	86.6846	245.00361760000007	rmg	?TraceZoneBoundary@type_random_map_generator@@QAEXPAUTRmgBoundaryVertex@@E@Z	non-exact
0x00564340	863	86.784454	86.7845	86.7845	114.05016198	sacrifice_window	?all_artifacts@type_sacrifice_window@@CIHAAVmessage@@@Z	non-exact
0x00574610	1152	86.80846	86.8085	86.8085	151.96654080000002	seerhut	?read@TSeerHut@@QAEXPAVTAbstractFile@@@Z	non-exact
0x00458010	271	86.8125	86.8125	86.8125	35.73812499999999	campaignbrief	?UpdateAllyEnemyFlags@TCampaignBrief@@QAEXXZ	non-exact
0x005f73b0	333	86.815125	86.8151	86.8151	43.90563375000002	viewwrld	?VWDrawSprite@@YIXPAVCSprite@@PAVNewmapCell@@HHHH@Z	non-exact
0x005599e0	1096	86.95588	86.9559	86.9559	142.96355520000003	resourcemanager	@game_sprite_1599e0@12	non-exact
0x004e5550	350	86.99219	86.9922	86.9922	45.52733500000003	hero	?can_summon_boat@hero@@QBEEXZ	non-exact
0x004c4f10	1821	87.0015	87.0015	87.0015	236.70268500000003	game	?Save@NewSMapHeader@@QAEHPAVTAbstractFile@@@Z	non-exact
0x004c0cc0	5736	87.01019	87.0102	87.0102	745.0955016000001	game	?RandomizeEvents@game@@QAEXXZ	non-exact
0x005795a0	714	87.01554	89.5855	89.5855	92.70904439999998	singleselectionwindow	?Finish@CNewPlayerUpdateProc@@UAEXXZ	non-exact
0x00582b40	837	87.06996	87.07	87.07	108.22443480000008	singleselectionwindow	?GetHeaders@TSingleSelectionWindow@@QAEXPAV?$vector@UGameSelectionHeadersStruct@@V?$allocator@UGameSelectionHeadersStruct@@@std@@@std@@@Z	non-exact
0x00420060	507	87.10995	87.1099	87.1099	65.35255349999998	ai	?find_attack_hexes@@YIXPBVarmy@@JJJJPBVsearchArray@@PAV?$vector@JV?$allocator@J@std@@@std@@@Z	non-exact
0x004da720	1501	87.13377	87.1338	87.1338	193.1221123	hero	?CheckLevel@hero@@QAEXXZ	non-exact
0x005972d0	669	87.19118	87.1912	87.1912	85.69100579999999	smackmgr	?VideoPlay@@YIHHHHHH@Z	non-exact
0x004dc100	535	87.27119	87.2712	87.2712	68.09913349999995	hero	?HeroFn_004DC100@hero@@QAEXJ@Z	non-exact
0x0045b1e0	2267	87.308105	87.3081	87.3081	287.72525964999994	campaignbrief	?CampaignBriefHandler@@YIHAAVmessage@@@Z	non-exact
0x00422b20	632	87.36224	87.3622	87.3622	79.87064319999999	ai	?find_AI_targets@combatManager@@QAEXJPBVarmy@@EPAUtype_AI_combat_parameters@@PAVsearchArray@@@Z	non-exact
0x005d5be0	844	87.41638	87.4164	87.4164	106.20575279999996	townmgr	?set_prerequisite_text@TBuyBuildWindow@@QAEXPBVtown@@H@Z	non-exact
0x004b1a70	2189	87.54884	87.5488	87.5488	272.5558924000001	findpath	?PushPoint@searchArray@@QAEXPBUpathCell@@PAU2@HHHJUtype_point@@H@Z	non-exact
0x004f3f60	855	87.6938	87.6938	87.6938	105.21801	kb	?ShowCongrats@@YIXH@Z	non-exact
0x005f8be0	1590	87.708015	87.8683	87.8683	195.4425614999999	viewwrld	?VWDrawAdvObjShadow@advManager@@QAEXHHHHH@Z	non-exact
0x0043c040	742	87.7343	87.7343	87.7343	91.01149399999993	ai_tactical	?find_enemy_attacks@type_AI_spellcaster@@QAEXXZ	non-exact
0x004cdf20	1413	87.849556	87.8496	87.8496	171.6857737199999	game	??0game@@QAE@XZ	non-exact
0x005c5b40	2168	87.93245	87.9325	87.9325	261.6244839999999	townmgr	?set_bonus_display@TTownScreenWindow@@QAEXPAVtown@@@Z	non-exact
0x0049d3d0	608	87.93488	87.9349	87.9349	73.35592959999997	event_record	?ResetVisibility@game@@QAEXHHHHH@Z	non-exact
0x004d7a20	1695	87.94118	87.9412	87.9412	204.39699899999988	hero	?load@hero@@QAEHPAVTAbstractFile@@H@Z	non-exact
0x00410c00	2446	87.94415	87.9441	87.9441	294.886091	advmgr	?DrawAdvObj@advManager@@QAEXHHHHH@Z	non-exact
0x004b5b90	933	87.948425	87.9484	87.9484	112.44119475000004	font	?FillLinesVector@font@@QAEXPBDHAAV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@@Z	non-exact
0x004b3400	1927	87.97802	87.978	87.978	231.66355459999997	findpath	?FindCombatPath@searchArray@@QAEEPBVarmy@@JJEJJ@Z	non-exact
0x004e36c0	744	88.06504	88.065	88.065	88.79610240000004	hero	?GetLuck@hero@@QAEHPBV1@EE@Z	non-exact
0x00440bc0	2625	88.08936	96.6787	96.6787	312.65430000000015	army	?do_post_attack@army@@AAEXPAV1@HHH@Z	non-exact
0x00456190	1743	88.10088	88.1009	88.1009	207.40166159999993	button	?Main@button@@UAEHPAVmessage@@@Z	non-exact
0x006032e0	485	88.1358	88.1358	88.1358	57.54136999999996	winmgr	?FadeFromBlack@heroWindowManager@@QAEXH@Z	non-exact
0x005ef500	4690	88.15329	88.1533	88.1533	555.6106990000002	university_window	??0type_university_window@@QAE@PAVhero@@PBUtype_university@@E@Z	non-exact
0x0044dd20	551	88.18023	88.1802	88.1802	65.12693270000004	binkmanager	?PlayBinkVideo@@YIHHHHHH@Z	non-exact
0x0042c690	402	88.33572	88.3357	88.3357	46.890405600000015	ai_player	?choose_weakest_army@type_AI_creature_swapper@@IAEJ_N0@Z	non-exact
0x004db3e0	631	88.40249	88.4025	88.4025	73.1802881	hero	?get_description@type_artifact@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ	non-exact
0x00498b70	110	88.42105	88.421	88.421	12.736845000000011	dxplay	?TestLobbied@CDPlayLobby@@QAEEXZ	non-exact
0x00456a50	403	88.44	88.44	88.44	46.58680000000002	button	??0textButton@@QAE@HHHHHPBD00HHEHHH@Z	non-exact
0x00597020	132	88.44262	88.4426	88.4426	15.255741599999993	slider	?SetKnob@slider@@IAEXH@Z	non-exact
0x005b10d0	680	88.455	99.965	99.965	78.50600000000003	swapmgr	?OnWidgetDeselect@swapManager@@QAEXAAVmessage@@AAH@Z	non-exact
0x005a78e0	717	88.48536	88.4854	88.4854	82.5599688	spells	?ModifySpellDamage@combatManager@@QAEJJHPBVhero@@0PBVarmy@@E@Z	non-exact
0x005a39c0	692	88.49367	88.4937	88.4937	79.62380360000006	spells	?ValidSpellTarget@combatManager@@QAEEHJJJEJ@Z	non-exact
0x0044a4d0	1326	88.50714	88.5071	88.5071	152.39532359999993	armygrp	?get_spell_work_chance@@YIMHW4TCreatureType@@PBVhero@@1@Z	non-exact
0x006030e0	505	88.51163	88.5116	88.5116	58.01626850000002	winmgr	?FadeToBlack@heroWindowManager@@QAEXHE@Z	non-exact
0x005ea6e0	2146	88.539085	88.5391	88.5391	245.9512359000001	tradpost	?Update@TTradeResourceWindow@@QAEXE@Z	non-exact
0x00425bd0	1427	88.58984	88.5898	88.5898	162.82298320000004	ai_combat	?cast_spell@type_AI_combat_data@@QAEXAAV1@W4type_speed_catagory@@@Z	non-exact
0x005892b0	449	88.62234	88.6223	88.6223	51.085693400000004	singleselectionwindow	?HeaderRequested@CNewPlayerUpdateMan@@QAEXKEH@Z	non-exact
0x005eb6a0	2009	88.65799	88.8247	88.8247	227.86098090000004	tradpost	?Update@TBuyArtifactWindow@@QAEXE@Z	non-exact
0x0049c390	450	88.70225	88.7023	88.7023	50.83987499999998	event_record	?record_erase_object@game@@QAEXPAVNewmapCell@@Utype_point@@@Z	non-exact
0x005533d0	427	88.854965	88.855	88.855	47.58929944999996	remote	?SendIt@CDPlayHeroes@@QAE_NPAVCNetMsg@@K_N@Z	non-exact
0x0055c7b0	1859	88.85645	88.8564	88.8564	207.15859450000005	resourcemanager	?GetSprite@ResourceManager@@YIPAVCSprite@@PBD@Z	non-exact
0x005822d0	2152	88.90396	88.9695	88.9695	238.78678080000014	singleselectionwindow	?ProcessRightSelect@TSingleSelectionWindow@@UAEEH@Z	non-exact
0x0049c560	440	88.925285	88.9253	88.9253	48.72874600000001	event_record	?record_hide_boat@game@@QAEXPAVboat@@EH@Z	non-exact
0x005971f0	217	88.92538	88.9254	88.9254	24.03192539999998	smackmgr	?VideoRealignBuffers@@YIXXZ	non-exact
0x00583890	688	88.98572	88.9857	88.9857	75.77824639999999	singleselectionwindow	?MakeHeroFilter@TSingleSelectionWindow@@QAEXXZ	non-exact
0x0042c830	831	89.08562	89.0856	89.0856	90.69849779999991	ai_player	?value_of_adding_army@type_AI_creature_swapper@@IAEJW4TCreatureType@@FAAF_N@Z	non-exact
0x0043af50	644	89.09005	89.0901	89.0901	70.26007799999994	ai_tactical	?consider_sacrifice@type_AI_spellcaster@@QBEXAAUtype_spell_choice@@PBVarmy@@J@Z	non-exact
0x004d85f0	302	89.27957	89.2796	89.2796	32.37569859999998	hero	??0hero@@QAE@XZ	non-exact
0x005a5440	1612	89.316536	94.9073	94.9073	172.21743967999996	spells	?DrawBolt@combatManager@@QAEXPAUSBolt@@H@Z	non-exact
0x005b0ef0	468	89.34965	89.3496	89.3496	49.84363800000004	swapmgr	?Update@swapManager@@QAEXXZ	non-exact
0x00559510	1217	89.391014	89.391	89.391	129.11135961999997	resourcemanager	@game_null_159510@12	non-exact
0x0047ab30	596	89.45498	89.455	89.455	62.84831919999996	creature_bank	?initialize_creature_bank_traits@@YIEXZ	non-exact
0x004eb250	237	89.46667	89.4667	89.4667	24.963992100000016	iconwdgt	?NextRandomSiegeEngineFrame@iconWidget@@QAEXXZ	non-exact
0x0058b790	675	89.48815	89.4882	89.4882	70.9549875	singleselectionwindow	?OnPlayerPosClick@TSingleSelectionWindow@@QAEXH@Z	non-exact
0x00428dd0	830	89.52631	89.5263	89.5263	86.93162700000002	ai_player	?end_turn@type_AI_player@@QAEXXZ	non-exact
0x005979d0	660	89.634705	89.6347	89.6347	68.41094700000005	smackmgr	?VideoDrawRects@@YIXXZ	non-exact
0x004a5610	838	89.67007	89.6701	89.6701	86.56481340000008	events	?DoEventShrine@advManager@@QAEXPAVhero@@PAVNewmapCell@@PBDW4GlobalInfoFlags@@_N@Z	non-exact
0x005d7b30	737	89.7235	89.7235	89.7235	75.737805	townmgr	?WindowHandler@TTavernWindow@@UAEHPAVmessage@@@Z	non-exact
0x005887a0	2541	89.74078	90.1601	90.2212	260.68678020000004	singleselectionwindow	?HandleNetMsg@TSingleSelectionWindow@@QAEEPAVCNetMsg@@PAE@Z	non-exact
0x0059ec50	2728	89.8044	89.8044	89.8044	278.1359679999998	spells	?InitiateSpell@combatManager@@QAEXHH@Z	non-exact
0x004b2da0	587	89.81768	89.8177	89.8177	59.770218400000005	findpath	?SeedCombatPosition@searchArray@@QAEXPBVarmy@@JJEJ@Z	non-exact
0x004805e0	4892	89.831535	89.8315	89.8315	497.44130779999966	cursor	?MoveHero@advManager@@QAEPAVNewmapCell@@HEPAUtype_point@@PAHE1E@Z	non-exact
0x00577de0	552	89.87116	89.8712	89.8712	55.91119679999997	singleselectionwindow	?Tick@t_map_list_update@@UAEXXZ	non-exact
0x00486590	2692	89.97374	90.3468	90.3468	269.90691919999995	customcampaign	?InitializeCrossoverHero@ScenarioStruct@TCampaignBrief@@QAEXPAUHeroPlaceholderData@@PAVhero@@@Z	non-exact
0x004bf780	1762	90.03148	90.0315	90.0315	175.64532240000005	game	?ValidateVictoryLossConditions@game@@QAEXE@Z	non-exact
0x0040d3f0	636	90.075	90.075	90.075	63.12299999999997	advmgr	?get_creature_bank_help_text@@YIXPADPAVNewmapCell@@W4type_creature_bank_type@@JPBDE@Z	non-exact
0x005f3360	1973	90.16333	90.8074	90.8074	194.07749910000007	viewarmywindow	??0TViewArmyWindow@@QAE@PBVarmy@@HHE@Z	non-exact
0x0049d160	616	90.179726	90.1797	90.1797	60.49288783999997	event_record	?SetVisibility@game@@QAEXHHHHHE@Z	non-exact
0x004e2bd0	372	90.19658	90.1966	90.1966	36.468722400000026	hero	?remove_artifact@hero@@QAEXJ@Z	non-exact
0x00589710	1039	90.21927	90.2193	90.2193	101.62178470000005	singleselectionwindow	?OnMapFileNameMsg@TSingleSelectionWindow@@QAEEPAVCNetMsg@@@Z	non-exact
0x00525e80	866	90.25368	90.2537	90.2537	84.40313119999998	philai	?DoAI@philAI@@QAEXH@Z	non-exact
0x004b3bb0	860	90.255455	90.2555	90.2555	83.80308700000003	findpath	?PushCombatPoint@searchArray@@QAEXHHHHH@Z	non-exact
0x005eebd0	417	90.26119	97.0522	97.0522	40.61083769999999	tradpost	?SetRolloverText@TSellCreatureWindow@@QAEXH@Z	non-exact
0x005d3240	6607	90.27378	90.2738	90.2738	642.6113553999998	townmgr	?Main@townManager@@UAEHAAVmessage@@@Z	non-exact
0x00472010	448	90.296555	90.2966	90.2966	43.4714336	combatwindow	?CheckCombatCheatCode@@YIXAAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z	non-exact
0x00406df0	479	90.297295	90.2973	90.2973	46.47595694999995	advmgr	??0advManager@@QAE@XZ	non-exact
0x0046dc30	706	90.37344	90.3734	90.3734	67.96351359999997	combatcontrolsubwindow	?Update@TCombatCreatureSubWindow@@QAEXPBVarmy@@PBVhero@@@Z	non-exact
0x00505230	985	90.43127	90.4313	90.4313	94.25199050000003	mapcell	?StampObject@NewfullMap@@QAEXPAVNewmapCell@@PAUTObjectCell@2@@Z	non-exact
0x0051fa40	4881	90.44072	90.4407	90.4407	466.5884568000002	overview	??0TOverviewWindow@@QAE@XZ	non-exact
0x004fd950	616	90.4916	90.4916	90.4916	58.57174399999997	mapcell	?NewfullMapFn_004FD950@NewfullMap@@QAEXPAVTAbstractFile@@H@Z	non-exact
0x005a7560	815	90.58462	90.5846	90.5846	76.73534699999996	spells	?Resurrect@combatManager@@QAEXPAVarmy@@JE@Z	non-exact
0x00467a00	943	90.59375	90.5938	90.5938	88.70093750000005	cmbtmgr	?ShootBallisticMissile@combatManager@@QAEXHHHHPBVCSprite@@@Z	non-exact
0x004f2ce0	1466	90.61905	90.6191	90.6191	137.52472699999998	kb	?CheckEndGame@@YIXH@Z	non-exact
0x00554f10	570	90.652176	90.6522	90.6522	53.28259680000003	remote	?WaitForReadyToPlayMsg@@YIXXZ	non-exact
0x005edf60	1887	90.679214	90.6792	90.6792	175.88323182000005	tradpost	?WindowHandler@TSellArtifactWindow@@UAEHPAVmessage@@@Z	non-exact
0x00432b20	120	90.681816	90.6818	90.6818	11.181820800000008	ai_player	?get_value@type_antimorale_artifact@@UBEJPBVhero@@EE@Z	non-exact
0x00432ba0	120	90.681816	90.6818	90.6818	11.181820800000008	ai_player	?get_value@type_antiluck_artifact@@UBEJPBVhero@@EE@Z	non-exact
0x004e9880	1286	90.70492	90.7049	90.7049	119.5347288	hiscore	??0THighScoreWindow@@QAE@XZ	non-exact
0x00598eb0	403	90.726494	90.7265	90.7265	37.37222917999999	smackmgr	?NextSmackerFrame@SmackManager@@YIXXZ	non-exact
0x005d1d30	446	90.7482	90.7482	90.7482	41.263028	townmgr	?DoBlacksmith@@YIXHH@Z	non-exact
0x00445fd0	1318	90.818405	91.46	91.46	121.01342209999997	army	?attack_wall@army@@AAEXW4TWallTargetId@@J@Z	non-exact
0x00474690	875	90.87714	90.8771	90.8771	79.825025	command	?SetCombatDirections@combatManager@@QAEXH@Z	non-exact
0x005bfeb0	873	90.8986	90.8986	90.8986	79.45522199999994	town	?give_event_reward@town@@QAEXPBVTTownEvent@@@Z	non-exact
0x004267c0	1021	90.93293	90.9329	90.9329	92.5747847	ai_combat	?choose_melee@type_AI_combat_data@@QBE_NABV1@W4type_speed_catagory@@@Z	non-exact
0x005f3b50	1714	90.95206	90.9521	90.9521	155.08169159999997	viewarmywindow	??0TViewArmyWindow@@QAE@PAVarmyGroup@@HPBVhero@@PBVtown@@HHHEEE@Z	non-exact
0x00584c40	1037	91.0411	91.0411	91.0411	92.90379300000004	singleselectionwindow	?SetHumanSlot@TSingleSelectionWindow@@QAEXXZ	non-exact
0x005c14c0	502	91.04651	91.0465	91.0465	44.94651979999998	town	?InitializeBuildingCostsTables@town@@SIEXZ	non-exact
0x005d5f30	2266	91.082954	95.1207	95.1207	202.06026235999988	townmgr	?BuyBuild@townManager@@QAEHHHH@Z	non-exact
0x0040a5d0	1542	91.10057	91.1006	91.1006	137.22921059999996	advmgr	?ProcessMapSelect@advManager@@QAEXPBVmessage@@PAUtype_point@@PAPAVNewmapCell@@@Z	non-exact
0x005a61f0	355	91.10169	91.1017	91.1017	31.589000499999994	spells	?GetNextChainLightningTarget@combatManager@@QAEJPBVarmy@@J@Z	non-exact
0x0041c8a0	1357	91.10181	91.4864	91.4864	120.74843829999993	advspells	?SummonBoat@advManager@@QAEXH@Z	non-exact
0x004590c0	4889	91.18802	91.188	91.188	430.8177022000004	campaignbrief	??0TCampaignBrief@@QAE@EE@Z	non-exact
0x00412c40	2881	91.2477	91.2477	91.2477	252.15376300000005	advmgr	?UpdateRadar@advManager@@QAEXUtype_point@@EEEEE@Z	non-exact
0x00429ad0	640	91.25571	96.4566	96.4566	55.963456000000065	ai_player	?calculate_reserve@type_AI_player@@QAEXXZ	non-exact
0x00451220	915	91.297295	91.2973	91.2973	79.62975075	bottomviewsubwindow	??0TBottomViewResourceMessage@@QAE@PAVheroWindow@@HHPBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z	non-exact
0x0058d510	2624	91.43498	91.435	91.435	224.74612480000002	singleselectionwindow	?DrawHeroAdvancedOption@TSingleSelectionWindow@@QAEXHEH@Z	non-exact
0x0056aad0	104	91.53846	91.5385	91.5385	8.800001600000002	search	?enter_hostile_trigger@searchArray@@QAEEPBVhero@@PAUpathCell@@@Z	non-exact
0x006027a0	666	91.54082	100.0	100.0	56.338138799999996	winmgr	?DoDialogDraw@heroWindowManager@@QAEHPAVheroWindow@@P6IHAAVmessage@@@Z2H@Z	non-exact
0x004c4390	2350	91.561386	91.5614	91.5614	198.30742899999998	game	?Read@NewSMapHeader@@QAEHPAVTAbstractFile@@H@Z	non-exact
0x004abdc0	1744	91.58893	91.5889	91.5889	146.68906079999996	events	?CreatureBankEvent@advManager@@QAEHPAVhero@@PAVNewmapCell@@PBDUtype_point@@E@Z	non-exact
0x0040e360	2328	91.626305	91.6263	91.6263	194.93961960000007	advmgr	?ProcessHover@advManager@@QAEHHH@Z	non-exact
0x004dc320	1939	91.64889	91.6489	93.9111	161.92802290000012	hero	?get_morale_description@hero@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ	non-exact
0x005ae750	930	91.65827	96.3237	96.3237	77.57808900000002	swapmgr	?Open@swapManager@@UAEHH@Z	non-exact
0x00585050	680	91.668205	91.6682	91.6682	56.65620599999998	singleselectionwindow	?SortMaps@TSingleSelectionWindow@@QAEXHEE@Z	non-exact
0x00421680	2297	91.6697	91.6697	91.6697	191.34699099999978	ai	?choose_melee_target@combatManager@@QAEEPBVarmy@@EPAJPAUtype_AI_combat_parameters@@@Z	non-exact
0x0042f570	1038	91.699684	91.6997	91.6997	86.15728007999996	ai_player	?mark_destinations@@YIJPAVhero@@JPAVsearchArray@@PAGW4type_search_type@@@Z	non-exact
0x00446720	263	91.7125	91.7125	91.7125	21.79612499999998	army	?Turn@army@@QAEXE@Z	non-exact
0x004f0fc0	451	91.732285	91.7323	91.7323	37.28739464999999	kb	?EventWindowHandler@@YIHPAVmessage@@@Z	non-exact
0x0051bd50	9692	91.73729	91.7373	91.7373	800.8218531999995	overview	?SetupDynamicStuff@game@@QAEXHH@Z	non-exact
0x004b5820	242	91.74227	92.6804	92.6804	19.98370659999999	font	?LineLength@font@@QAEHPBDH@Z	non-exact
0x0059e900	847	91.81468	91.8147	91.8147	69.32966040000007	spells	?ViewSpells@combatManager@@QAEHXZ	non-exact
0x0049e2e0	907	91.93031	91.9303	91.9303	73.19208829999997	events	?DoEventShipyard@advManager@@QAEXPAVNewmapCell@@Utype_point@@E@Z	non-exact
0x00543240	1943	91.9306	93.3833	93.3833	156.7884420000001	rmg	?ConnectZones@type_random_map_generator@@QAEXXZ	non-exact
0x004e8850	873	91.942955	91.943	91.943	70.33800285000007	hillfortwindow	?HillFortWindowHandler@@YIHAAVmessage@@@Z	non-exact
0x00424120	1646	91.9548	91.9548	91.9548	132.42399199999994	ai_combat	?initialize_creatures@type_AI_combat_data@@QAEXNPBVhero@@@Z	non-exact
0x00591310	821	91.996124	91.9961	91.9961	65.71182196000008	singleselectionwindow	?_Sort_0@std@@YIXPAUGameSelectionHeadersStruct@@0UTSortMapsBySize@@0@Z	non-exact
0x0059a6b0	275	92.0	92.0	92.0	21.99999999999999	soundmgr	?WaitEndSampleThread@@YAXPAX@Z	non-exact
0x0044e780	447	92.03846	92.0385	92.0385	35.5880838	bitmap16	?Colorize@Bitmap16Bit@@QAEXHHHHG@Z	non-exact
0x005c77a0	2269	92.05097	92.051	92.051	180.36349069999977	townmgr	?SetCommandAndText@townManager@@QAEXPAVmessage@@@Z	non-exact
0x0056f8a0	787	92.05556	92.0556	92.0556	62.522742799999975	seerhut	?DoProposalDialog@type_artifact_quest@@UAEXPAVhero@@@Z	non-exact
0x00457990	793	92.10645	92.1064	92.1064	62.59585150000004	campaignbrief	?Select@TCampaignBrief@@QAEXH@Z	non-exact
0x004f5d80	1308	92.16883	92.1688	92.1688	102.43170359999998	kb	?CalculateNormalDialogSize@@YIXPAUTNormalDialogInfo@@@Z	non-exact
0x00529920	269	92.2043	100.0	100.0	20.970432999999986	philai	?value_of_bank@@YIJPBVhero@@PAVNewmapCell@@@Z	non-exact
0x00402450	1491	92.22698	92.227	92.227	115.89572819999995	adventuremapwindow	?CheckAdvCheatCode@@YIXAAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z	non-exact
0x004c92c0	514	92.23077	92.2308	92.2308	39.933842199999965	game	?GetRandomMonster@game@@QAE?AW4TCreatureType@@HH@Z	non-exact
0x0044c1c0	965	92.362274	92.3623	92.3623	73.7040559	armygrp	?get_luck_description@armyGroup@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@W4TCreatureType@@HPBVhero@@PBVtown@@1PBV1@H@Z	non-exact
0x004922f0	1356	92.388885	92.3889	92.3889	103.20671940000003	drawing	?show_creature_spell_error@combatManager@@AAE_NPADPBVarmy@@@Z	non-exact
0x0052cf10	1460	92.4089	92.4725	92.4725	110.83005999999993	puzzlewindow	?match_puzzle@@YI?AUtype_point@@JPAY0BB@Utype_AI_puzzle_tile@@@Z	non-exact
0x0042c4a0	264	92.50516	92.5052	92.5052	19.786377599999977	ai_player	?get_swap_value@type_AI_creature_swapper@@QAEJPBVhero@@PBVarmyGroup@@0E@Z	non-exact
0x00476490	1322	92.53571	92.5714	92.5714	98.67791380000008	command	?GetCommand@combatManager@@QAEHH@Z	non-exact
0x005bede0	1063	92.562675	99.3036	99.3036	79.05876475000007	town	?BuildBuilding@town@@QAE?AW4type_building_id@@HEE@Z	non-exact
0x0043d5c0	358	92.62608	92.6261	92.6261	26.3986336	army	?InitClean@army@@QAEXXZ	non-exact
0x005860e0	1228	92.63856	92.6386	92.6386	90.39848319999996	singleselectionwindow	?GenerateRandomMap@TSingleSelectionWindow@@QAEEPBD@Z	non-exact
0x004d6050	1418	92.67487	92.6749	92.6749	103.87034340000002	gzinflatebuf	??0TGzInflateBuf@@QAE@PAV?$basic_streambuf@DU?$char_traits@D@std@@@std@@@Z	non-exact
0x004c5630	1997	92.676346	92.6763	92.6763	146.25337038000004	game	?Load@NewSMapHeader@@QAEHPAVTAbstractFile@@H@Z	non-exact
0x00416210	215	92.68293	92.6829	92.6829	15.731700500000008	advmgr	?BVMessage@advManager@@QAEXPBD@Z	non-exact
0x00412470	1154	92.70337	92.7034	92.7034	84.20311019999991	advmgr	?DrawUnderlay@advManager@@QAEXHHHHH@Z	non-exact
0x00492840	2958	92.75454	92.7545	92.7545	214.32070679999978	drawing	?CombatMessage@combatManager@@QAEXH@Z	non-exact
0x004336c0	800	92.75851	92.7585	92.7585	57.93191999999996	ai_player	?AI_get_value_of_artifact@@YIJUtype_artifact@@PBVhero@@EE@Z	non-exact
0x004f7690	786	92.791115	92.7911	92.7911	56.66183609999999	kb	?extended_dialog@@YIXPBDAAV?$vector@Utype_dialog_resource@@V?$allocator@Utype_dialog_resource@@@std@@@std@@JJJ@Z	non-exact
0x005ff240	354	92.87671	92.8767	92.8767	25.216446599999976	window	?CenterWindow@heroWindow@@QAEXHH@Z	non-exact
0x0050e050	3324	92.91469	92.9147	92.9147	235.51570440000037	multiplayerwindow	??0TMultiPlayerWindow@@QAE@XZ	non-exact
0x004e2550	748	92.91846	92.9185	92.9185	52.969919200000064	hero	?HeroFn_004E2550@hero@@QAEEJJ@Z	non-exact
0x0044daa0	538	92.92453	92.9245	92.9245	38.066028599999974	binkmanager	?NextBinkFrame@@YIXXZ	non-exact
0x0056ef20	1404	93.00199	98.3426	98.3426	98.25206039999999	seerhut	?SetDefaultText@type_monster_quest@@UAEXXZ	non-exact
0x0044b960	2137	93.05663	93.0566	93.0566	148.3798169000001	armygrp	?get_morale_description@armyGroup@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@W4TCreatureType@@HPBVhero@@PBVtown@@1PBV1@HE@Z	non-exact
0x004167a0	2011	93.09215	93.0922	93.0922	138.91686349999986	advmgr	?TownQuickView@advManager@@QAEXHHHE@Z	non-exact
0x00474d80	4429	93.09698	93.097	93.097	305.7347557999997	command	?ProcessCombatMsg@combatManager@@QAEHAAVmessage@@@Z	non-exact
0x004fb710	1156	93.174644	93.1746	93.1746	78.90111536000005	mainmenu	?MainMenuHandler@@YIHAAVmessage@@@Z	non-exact
0x005aa060	462	93.17829	93.3721	93.3721	31.516300199999964	strip	?DrawOwner@strip@@IAEXH@Z	non-exact
0x004369c0	555	93.184975	93.185	93.185	37.82338875000004	ai_tactical	??0type_AI_spellcaster@@QAE@PAVcombatManager@@JE@Z	non-exact
0x004e2a00	455	93.20513	93.2051	93.2051	30.91665850000004	hero	?equip_artifact@hero@@QAEEPBUtype_artifact@@J@Z	non-exact
0x0040abe0	893	93.20886	93.2089	93.2089	60.64488019999996	advmgr	?get_army_help_text@@YI?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVarmyGroup@@E@Z	non-exact
0x0056a360	158	93.261536	93.2615	93.2615	10.646773119999981	search	?check_adjacent_monster@@YIEPBVhero@@PAUpathCell@@W4type_search_type@@@Z	non-exact
0x00441fa0	1121	93.31624	93.3162	93.3162	74.92494960000006	army	?WalkTo@army@@QAEEHE@Z	non-exact
0x00416060	247	93.333336	93.3333	93.3333	16.46666008	advmgr	?BVResMsg@advManager@@QAEXPBDHH@Z	non-exact
0x004726b0	305	93.348625	93.3486	93.3486	20.286693750000012	combatwindow	?SendChat@CCombatChatEdit@@UAEXPBDH@Z	non-exact
0x0059fe30	10831	93.36584	93.3658	93.3658	718.5458695999988	spells	?CastSpell@combatManager@@QAEXHHHHHJ@Z	non-exact
0x004fdbc0	881	93.40367	93.4037	93.4037	58.11366729999995	mapcell	?Load@NewfullMap@@QAEHPAVTAbstractFile@@HEH@Z	non-exact
0x005af590	1015	93.416145	93.4161	93.4161	66.82612825000005	swapmgr	?handle_artifact_click@swapManager@@QAEXJJE@Z	non-exact
